Office,Location,Address Line 1,Address Line 2,City,State,Zipcode,Lat,Lng,FloorplanURL,EmergencyPlanURL
BM&K Property Holdings,BRAS,6700 Hwy 53,Unit A,Braselton,GA,30517,34.13124753,-83.76595696,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQAFdp9YMmXYRYRI8Ou16wjAAbeew9GpAEBBn0UIBZTcP5g?e=DsWRIB,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Georgia/EmergencyFloorplans/TBD_Braselton,%20GA_(BRAS)_6700Hwy53_EmergencyPlan.pdf?csf=1&web=1&e=K8TFfM"
LJA Engineering,BUFO,4525 South Lee St,,Buford,GA,30518,34.10987973,-84.00365648,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQBFBs9vtRk3RYcALrpRbagPAUKF5IQmFAuYZgwkrNhqyCc?e=a1r1G9,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Georgia/EmergencyFloorplans/Buford,%20GA_(BUFO)_4525SouthLee_EmergencyPlan.pdf?csf=1&web=1&e=9JPiar"
LJA Engineering,CAN2,130 E Main St,Suite 204,Canton,GA,30114,34.23718492,-84.49019044,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQD4jPAB-LiHRatFhKPRqS1SASGi-PYbA99nDcAh0Cw7mrs?e=DeXw5t,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Georgia/EmergencyFloorplans/Canton,%20GA_(CAN2)_130EMainSt_EmergencyPlan.pdf?csf=1&web=1&e=4xJgtK"
LJA Engineering,CHA3,100 Calhoun St,Suite 400,Charleston,SC,29401,32.7880789,-79.93235959,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQD4rx6UJLQzRrlsEc01Q4FfAaCTtNEhOAWBELk9EXCYCMc?e=Jwppzz,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/SouthCarolina/EmergencyFloorplans/TBD_Charleston,%20SC_(CHA3)_100CalhounSt_EmergencyPlan.pdf?csf=1&web=1&e=pVGhfq"
LJA Engineering,CHAT,1110 Market St,"North Building, Suite 314",Chattanooga,TN,37402,35.04258587,-85.30862797,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQBI50oj0g85QLqGVXW8M55IAeV2XlMjVxaBqBtvrO9ycWw?e=hlfZCV,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Tennessee/EmergencyFloorplans/Chattanooga,%20TN_(CHAT)_1110MarketSt_EmergencyPlan.pdf?csf=1&web=1&e=CQblFg"
LJA Engineering,COLL,166 Century Court,"Building G, Suite 250",College Station,TX,77840,30.62595299,-96.33893816,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQDWRkRmr60uT7Ke1zOuB5W7AdhxaJ0F1m5QIAgM3nKOahc?e=PUIHsG,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/CollegeStation,%20TX_(COLL)_166CenturyCt_EmergencyPlan.pdf?csf=1&web=1&e=8gHcXt"
Quest Utility Construction,COMB,22051 US BUS 77,Unit C,Combes,TX,78535,X,X,X,X
LJA Engineering,CONR,2014 Airport Rd,Suite 100,Conroe,TX,77301,30.3341016,-95.43287635,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQDG6vbULrb0RYs0yZGQ_dAvAZ7ENlbZ3S5jLdNGTF0QzNE?e=LshWsC,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Conroe,%20TX_(CONR)_2014AirportRd_EmergencyPlan.pdf?csf=1&web=1&e=M7Q4i0"
Quest Utility Construction,CONV,4707 N Graytown Rd,,Converse,TX,78109,X,X,X,X
David Plummer and Associates,CORA,1750 Ponce de Leon Blvd,,Coral Gables,FL,33134,25.75645362,-80.25922181,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQDdTmZBh9kvRZzguL17sielAT1gp7sFtGKHbsggaOw8Zek?e=MuryOJ,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/EmergencyFloorplans/TBD_CoralGables,%20FL_(CORA)_1750PonceDeLeonBlvd_EmergencyPlan.pdf?csf=1&web=1&e=sEOJ1Q"
